Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,pickup_time,Order_Month,Distance,Time_taken (min),Time_pickup_(Min),Order_Day
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
45.0,2.0,Sunny,Low,2,Snack,bicycle,5.0,No,Metropolitian,254.0,8,15.0,,,
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,,2,10.28,46.0,15.0,12.0
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,,2,6.24,23.0,10.0,13.0
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,,3,13.79,21.0,10.0,4.0
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,,2,2.93,20.0,10.0,13.0
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,,2,19.4,41.0,15.0,14.0
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,,4,13.76,20.0,10.0,2.0
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,,3,6.22,33.0,15.0,1.0
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,,3,16.85,40.0,10.0,16.0
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,3,10.76,41.0,10.0,20.0
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,,2,4.54,15.0,15.0,15.0
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,,3,12.26,36.0,5.0,16.0
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,,3,19.62,26.0,15.0,10.0
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,,3,1.56,20.0,15.0,11.0
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,,3,20.18,39.0,15.0,27.0
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,6.12,34.0,5.0,26.0
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,,3,17.08,15.0,15.0,27.0
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,,4,4.47,18.0,5.0,5.0
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,,3,13.68,38.0,10.0,12.0
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,13.97,47.0,15.0,16.0
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,,4,16.85,12.0,10.0,2.0
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,,4,4.67,26.0,15.0,1.0
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,,3,7.6,22.0,5.0,5.0
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,,2,7.72,21.0,10.0,11.0
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,,2,6.18,25.0,5.0,11.0
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,,3,17.3,35.0,10.0,8.0
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,,4,19.91,30.0,10.0,2.0
